timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605981310662,1109,Register_Success,200,OK,Thread Group 1-2,text,true,,3373,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,900,0,0
1605981306384,2382,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8203,2699,5,5,null,1971,3006,160
1605981310742,1362,Launch_Homepage,200,OK,Thread Group 1-1,text,true,,4240,698,5,5,https://demo.opencart.com/,1160,0,269
1605981311062,1230,Register,200,OK,Thread Group 1-3,text,true,,4744,748,5,5,https://demo.opencart.com/index.php?route=account/register,1022,0,158
1605981311086,2079,Navigating_Account_Page,200,OK,Thread Group 1-4,text,true,,4051,1556,5,5,https://demo.opencart.com/index.php?route=account/login,992,0,156
1605981311086,992,Navigating_Account_Page-0,302,Found,Thread Group 1-4,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,992,0,156
1605981312078,1087,Navigating_Account_Page-1,200,OK,Thread Group 1-4,text,true,,3489,776,5,5,https://demo.opencart.com/index.php?route=account/login,876,0,0
1605981311086,2079,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4051,1556,5,5,null,992,1,156
1605981312106,1106,Launch_Homepage1,200,OK,Thread Group 1-1,text,true,,4239,704,5,5,https://demo.opencart.com/,895,0,0
1605981310735,2468,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,8479,1402,5,5,null,2055,11,269
1605981311773,2077,Navigating_Account_Page,200,OK,Thread Group 1-2,text,true,,4071,1556,5,5,https://demo.opencart.com/index.php?route=account/login,992,0,164
1605981311773,992,Navigating_Account_Page-0,302,Found,Thread Group 1-2,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,992,0,164
1605981312768,1082,Navigating_Account_Page-1,200,OK,Thread Group 1-2,text,true,,3509,776,5,5,https://demo.opencart.com/index.php?route=account/login,868,0,0
1605981311772,2077,Navigating_AccountPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4071,1556,5,5,null,992,2,164
1605981313168,1243,Logout_1,200,OK,Thread Group 1-4,text,true,,3329,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1041,0,164
1605981313852,1238,Logout_1,200,OK,Thread Group 1-2,text,true,,3329,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,1032,0,156
1605981314414,1079,Logout_2,200,OK,Thread Group 1-4,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,872,0,0
1605981313167,2322,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,6653,1558,5,5,null,1913,6,164
1605981314747,1007,ClickOnRegister,200,OK,Thread Group 1-5,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,983,0,166
1605981307510,2233,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,5275,1463,5,5,null,2009,6012,322
1605981315092,1068,Logout_2,200,OK,Thread Group 1-2,text,true,,3324,779,5,5,https://demo.opencart.com/index.php?route=account%2Flogout,860,0,0
1605981313852,2306,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,6653,1558,5,5,null,1892,4,156
1605981315295,1034,ClickOnRegister,200,OK,Thread Group 1-3,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,1017,0,184
1605981308004,2264,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,5291,1463,5,5,null,2039,6062,342
1605981315498,1342,Launch_Homepage,200,OK,Thread Group 1-4,text,true,,4240,698,5,5,https://demo.opencart.com/,1133,0,265
1605981316216,1268,Register,200,OK,Thread Group 1-1,text,true,,4733,748,5,5,https://demo.opencart.com/index.php?route=account/register,1058,0,184
1605981316164,1388,Launch_Homepage,200,OK,Thread Group 1-2,text,true,,4285,698,5,5,https://demo.opencart.com/,1175,0,283
1605981316842,1077,Launch_Homepage1,200,OK,Thread Group 1-4,text,true,,4226,704,5,5,https://demo.opencart.com/,871,0,0
1605981315496,2419,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,8466,1402,5,5,null,2004,6,265
1605981317553,1088,Launch_Homepage1,200,OK,Thread Group 1-2,text,true,,4234,704,5,5,https://demo.opencart.com/,884,0,0
1605981316162,2476,Launch_URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,8519,1402,5,5,null,2059,5,283
1605981318754,1370,Register_form,200,OK,Thread Group 1-5,text,true,,4860,1837,5,5,https://demo.opencart.com/index.php?route=account/register,1164,0,167
1605981319336,1387,Register_form,200,OK,Thread Group 1-3,text,true,,4830,1936,5,5,https://demo.opencart.com/index.php?route=account/register,1176,0,168
1605981320125,1084,Register_Success,200,OK,Thread Group 1-5,text,true,,3373,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,877,0,0
1605981315756,2454,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,8233,2644,5,5,null,2041,3001,167
1605981320472,1041,ClickOnRegister,200,OK,Thread Group 1-1,text,true,,547,715,5,5,https://demo.opencart.com/index.php?route=account%2Fregister%2Fcustomfield&customer_group_id=1,1008,0,164
1605981313215,2309,Select_Register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,5280,1463,5,5,null,2066,5990,348
1605981320725,1223,Register_Success,200,OK,Thread Group 1-3,text,true,,3368,807,5,5,https://demo.opencart.com/index.php?route=account%2Fsuccess,1016,0,0
1605981316331,2610,Account_register,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,8198,2743,5,5,null,2192,3009,168
1605981320912,1239,Register,200,OK,Thread Group 1-4,text,true,,4817,748,5,5,https://demo.opencart.com/index.php?route=account/register,1032,0,176
1605981321650,1249,Register,200,OK,Thread Group 1-2,text,true,,4728,748,5,5,https://demo.opencart.com/index.php?route=account/register,1039,0,162
1605981321213,2094,Navigating_Account_Page,200,OK,Thread Group 1-5,text,true,,4068,1556,5,5,https://demo.opencart.com/index.php?route=account/login,1005,0,162
1605981321213,1005,Navigating_Account_Page-0,302,Found,Thread Group 1-5,text,true,,562,780,5,5,https://demo.opencart.com/index.php?route=account%2Faccount,1005,0,162
1605981322219,1088,Navigating_Account_Page-1,200,OK,Thread Group 1-5,text,true,,3506,776,5,5,https://demo.opencart.com/index.php?route=account/login,879,0,0
